element_type,element_id,x_coord,y_coord,connected_to,description
dot,0,0,0,"1,3",top_left_corner
dot,1,12,0,,top_center
dot,2,24,0,"1,5",top_right_corner
dot,3,0,6,"0,6",middle_left
dot,4,12,6,"0,1,2,3,5,6,7,8",center_hub
dot,5,24,6,"2,8",middle_right
dot,6,0,12,"3,7",bottom_left
dot,7,12,12,,bottom_center
dot,8,24,12,"5,7",bottom_right_corner
horizontal_line,h1,6,1,,top_left_horizontal
horizontal_line,h2,18,1,,top_right_horizontal
horizontal_line,h3,6,7,,middle_left_horizontal
horizontal_line,h4,18,7,,middle_right_horizontal
horizontal_line,h5,6,13,,bottom_left_horizontal
horizontal_line,h6,18,13,,bottom_right_horizontal
vertical_line,v1,2,3,,left_top_vertical
vertical_line,v2,14,3,,center_top_vertical
vertical_line,v3,26,3,,right_top_vertical
vertical_line,v4,2,9,,left_bottom_vertical
vertical_line,v5,14,9,,center_bottom_vertical
vertical_line,v6,26,9,,right_bottom_vertical
diagonal_line,d1,5,2,,top_left_to_right_diagonal
diagonal_line,d2,17,8,,bottom_left_to_right_diagonal
diagonal_line,d3,17,2,,top_right_to_left_diagonal
diagonal_line,d4,5,8,,bottom_right_to_left_diagonal
